movie_id,title,original_language,release_date,runtime
nukes+in+space+1999,Nukes in Space,en,1999-01-01,53
mulan+1998,Mulan,en,1998-06-18,88
my+neighbor+totoro+1988,My Neighbor Totoro,ja,1988-04-16,86
the+collector+1965,The Collector,en,1965-06-17,119
the+terminator+1984,The Terminator,en,1984-10-26,108
zero+effect+1998,Zero Effect,en,1998-01-30,116
die+hard+with+a+vengeance+1995,Die Hard: With a Vengeance,en,1995-05-19,128
gods+country+1985,God's Country,en,1985-06-07,95
finding+nemo+2003,Finding Nemo,en,2003-05-30,100
leon+the+professional+1994,Leon: The Professional,fr,1994-09-14,110
brazil+1985,Brazil,en,1985-02-20,132
fantomas+vs.+scotland+yard+1967,Fantomas vs. Scotland Yard,fr,1967-03-16,104
sweet+bird+of+youth+1962,Sweet Bird of Youth,en,1962-08-31,120
1+-+nenokkadine+2014,1 - Nenokkadine,te,2014-01-10,150
the+man+from+planet+x+1951,The Man from Planet X,en,1951-04-27,70
a+dangerous+man+2009,A Dangerous Man,en,2009-01-01,94
cleaner+2007,Cleaner,en,2007-09-11,88
the+matrix+revolutions+2003,The Matrix Revolutions,en,2003-11-05,129
big+hero+6+2014,Big Hero 6,en,2014-10-24,102
somewhere+in+palilula+2012,Somewhere in Palilula,en,2012-04-20,145
eve+of+destruction+1991,Eve of Destruction,en,1991-01-18,99
frankenstein+1931,Frankenstein,en,1931-11-21,71
generation+iron+2013,Generation Iron,en,2013-09-20,106
trader+horn+1931,Trader Horn,en,1931-05-23,122
cinderella+ii+dreams+come+true+2002,Cinderella II: Dreams Come True,en,2002-02-23,74
ice+age+a+mammoth+christmas+2011,Ice Age: A Mammoth Christmas,en,2011-11-24,26
racing+stripes+2005,Racing Stripes,en,2005-01-06,102
cherry+2000+1987,Cherry 2000,en,1987-11-12,99
eye+of+god+1997,Eye of God,en,1997-10-17,84
every+man+for+himself+1980,Every Man for Himself,fr,1980-09-08,87
the+wrong+trousers+1993,The Wrong Trousers,en,1993-12-17,30
one+flew+over+the+cuckoos+nest+1975,One Flew Over the Cuckoo's Nest,en,1975-11-18,133
love+me+if+you+dare+2003,Love Me If You Dare,fr,2003-09-17,93
a+demon+in+my+view+1991,A Demon in My View,de,1991-09-23,110
cousinhood+2011,Cousinhood,es,2011-02-04,98
songs+from+the+second+floor+2000,Songs from the Second Floor,sv,2000-10-06,98
incident+at+oglala+1992,Incident at Oglala,en,1992-05-08,89
gravity+2013,Gravity,en,2013-09-27,91
museum+hours+2012,Museum Hours,en,2012-08-08,106
the+good_+the+bad+and+the+ugly+1966,"The Good, the Bad and the Ugly",it,1966-12-23,161
planta+4+2003,Planta 4ª,en,2003-10-31,100
back+to+the+future+1985,Back to the Future,en,1985-07-03,116
volcano+high+2001,Volcano High,ko,2001-12-08,120
princess+mononoke+1997,Princess Mononoke,ja,1997-07-12,134
the+quick+and+the+dead+1987,The Quick and the Dead,en,1987-02-28,90
knife+in+the+water+1962,Knife in the Water,pl,1962-03-09,94
resurrection+1980,Resurrection,en,1980-09-26,103
lincruste+2004,L'incruste,fr,2004-03-01,86
sydney+white+2007,Sydney White,en,2007-09-21,108
the+free+will+2006,The Free Will,de,2006-08-23,163
theatre+of+blood+1973,Theatre of Blood,en,1973-03-15,104
the+peach+thief+1964,The Peach Thief,bg,1964-11-09,84
escape+from+fort+bravo+1953,Escape from Fort Bravo,fr,1953-12-04,99
star+wars+episode+iii+-+revenge+of+the+sith+2005,Star Wars: Episode III - Revenge of the Sith,en,2005-05-17,140
saving+private+ryan+1998,Saving Private Ryan,en,1998-07-24,169
harry+potter+and+the+order+of+the+phoenix+2007,Harry Potter and the Order of the Phoenix,en,2007-06-28,138
the+liquidator+2011,The Liquidator,ru,2011-04-07,94
the+dark+knight+2008,The Dark Knight,en,2008-07-16,152
shrek+2001,Shrek,en,2001-05-16,90
far+from+heaven+2002,Far from Heaven,en,2002-09-01,107
13+assassins+2010,13 Assassins,ja,2010-09-09,141
a+tale+of+two+sisters+2003,A Tale of Two Sisters,ko,2003-06-13,115
lone+wolf+and+cub+baby+cart+in+peril+1972,Lone Wolf and Cub: Baby Cart in Peril,ja,1972-11-15,81
gladiator+2000,Gladiator,en,2000-05-01,155
toy+story+2+1999,Toy Story 2,en,1999-10-30,92
oslo_+august+31st+2011,"Oslo, August 31st",no,2011-08-31,95
fearless+hyena+1979,Fearless Hyena,cn,1979-02-17,92
watchmen+2009,Watchmen,en,2009-03-05,163
harry+potter+and+the+philosophers+stone+2001,Harry Potter and the Philosopher's Stone,en,2001-11-16,152
dead+poets+society+1989,Dead Poets Society,en,1989-06-02,129
stranger+by+the+lake+2013,Stranger by the Lake,fr,2013-05-17,97
the+hunchback+of+notre+dame+1939,The Hunchback of Notre Dame,en,1939-12-29,116
sin+city+2005,Sin City,en,2005-04-01,124
jack+ryan+shadow+recruit+2014,Jack Ryan: Shadow Recruit,en,2014-01-15,105
within+the+woods+1978,Within the Woods,en,1978-11-23,32
the+cat+returns+2002,The Cat Returns,ja,2002-07-19,75
star+wars+1977,Star Wars,en,1977-05-25,121
m*a*s*h+1970,M*A*S*H,en,1970-01-24,116
winnie+the+pooh+2011,Winnie the Pooh,en,2011-04-13,63
pulp+fiction+1994,Pulp Fiction,en,1994-09-10,154
inception+2010,Inception,en,2010-07-14,148
the+ace+of+hearts+1921,The Ace of Hearts,en,1921-09-17,75
ali+g+indahouse+2002,Ali G Indahouse,en,2002-03-21,85
the+mission+1986,The Mission,en,1986-09-29,126
a+chef+in+love+1996,A Chef in Love,fr,1996-06-06,100
sraphine+2008,Séraphine,fr,2008-10-01,125
the+magnificent+ambersons+1942,The Magnificent Ambersons,en,1942-07-10,88
anio+w+krakowie+2002,Anioł w Krakowie,pl,2002-09-20,0
phoebe+in+wonderland+2008,Phoebe in Wonderland,en,2008-02-07,96
the+abominable+dr.+phibes+1971,The Abominable Dr. Phibes,en,1971-05-18,94
shakespeare+wallah+1965,Shakespeare Wallah,en,1965-12-01,120
iron+man+3+2013,Iron Man 3,en,2013-04-18,130
nightcrawler+2014,Nightcrawler,en,2014-10-23,117
love+and+pain+and+the+whole+damn+thing+1973,Love and Pain and the Whole Damn Thing,en,1973-04-19,110
robots+2005,Robots,en,2005-03-10,91
rude+boy+1980,Rude Boy,en,1980-07-25,133
little+big+man+1970,Little Big Man,en,1970-12-14,139
dumbo+1941,Dumbo,en,1941-10-22,64
iron+man+2+2010,Iron Man 2,en,2010-04-28,124
glory+to+the+filmmaker+2007,Glory to the Filmmaker!,ja,2007-06-02,108
lola+1961,Lola,fr,1961-03-03,87
terminator+2+judgment+day+1991,Terminator 2: Judgment Day,en,1991-07-01,137
inglourious+basterds+2009,Inglourious Basterds,en,2009-08-18,153
the+valet+2006,The Valet,en,2006-03-29,85
girls+town+1996,Girls Town,en,1996-08-21,90
the+guard+post+2008,The Guard Post,ko,2008-04-03,121
40+pounds+of+trouble+1962,40 Pounds of Trouble,en,1962-01-01,106
goal+the+dream+begins+2005,Goal!: The Dream Begins,en,2005-06-06,118
sweetgrass+2009,Sweetgrass,en,2009-02-04,101
super+troopers+2001,Super Troopers,en,2001-01-18,100
patriotism+1966,Patriotism,ja,1966-04-12,30
10+questions+for+the+dalai+lama+2006,10 Questions for the Dalai Lama,en,2006-05-01,85
the+corridor+2012,The Corridor,en,2012-03-30,99
kill+bill+vol.+1+2003,Kill Bill: Vol. 1,en,2003-10-10,111
i+stand+alone+1998,I Stand Alone,fr,1998-05-16,93
the+geographer+drank+his+globe+away+2013,The Geographer Drank His Globe Away,ru,2013-07-26,120
2001+a+space+odyssey+1968,2001: A Space Odyssey,en,1968-04-10,149
harry+potter+and+the+chamber+of+secrets+2002,Harry Potter and the Chamber of Secrets,en,2002-11-13,161
gifted+hands+the+ben+carson+story+2009,Gifted Hands: The Ben Carson Story,en,2009-02-07,86
a+princess+for+christmas+2011,A Princess for Christmas,en,2011-12-03,89
walle+2008,WALL·E,en,2008-06-22,98
the+neighbor+1993,The Neighbor,en,1993-11-03,93
hugh+hefner+playboy_+activist+and+rebel+2009,"Hugh Hefner: Playboy, Activist and Rebel",en,2009-01-01,127
retrograde+2004,Retrograde,en,2004-11-02,93
coraline+2009,Coraline,en,2009-02-05,100
